,movie,overview
1905,Открытый простор,главный герой являться четверо ковбой босс спирмэн чарли уэйт здоровяк моз и 16летний испанский юноша баттон принять старый ковбой для помощь в выпас стадо после прошедшее сильный дождь босс решать что моз надо съездить в город за дополнительный припас когда он не возвращаться босс спирмэн и чарли уэйт чуя неладный отправляться за они
1906,Фанатки на завтрак не остаются,после год провести в сша в качество студентка по обмен 17летний лила возвращаться домой в германия где влюбляться в привлекательный молодой человек по имя крица то что лила изначально не знать за год она отсутствие в германия появиться молодёжный суперпопулярный группа в одночасье добиться огромный успех среди подросток слава группа ещё не дойти до сша но в германия они стать мегазвезда а солист группа как раз и являться крица когда лила узнать о это трудность неизбежный к тот же крица разделять чувство лила к превеликий ужас свой менеджер по контракт крица запретить иметь подружка так это испортить он имидж одинокий красавчик есть ли шанс у любовь лила и крица
1907,Потерянный рейс,11 сентябрь 2001 год хронология происшествие на борт рейс 93 авиакомпания united airlines
1908,Девочки (сериал 2012 – ...),комедия рассказывать о несколько девушка двадцатилетний возраст который приходиться испытывать унижение и лишь изредка знавать вкус победа
1909,Мистер Бин,мистер бин работать смотритель в королевский британский галерея начальство давно уволить бы он по формулировка за сон на рабочий место если бы не покровительство директор вместо это бин отправлять в командировка в лосанджелес там он принимать за официальный лицо приехать на открытие великий выставка сша
1910,Волк,уил рэндать жить двойной жизнь день он преуспевать книгоиздатель ночью порождение преисподняя зверь убивать всё живой но такой жизнь не угнетать он он безнаказанный и свободный а инстинкт хищник только помогать он жить он только на первый взгляд обычный человек взглянуть он в глаз это глаз волк
1911,Все псы попадают в рай 2,чарли и итч возвращаться на земля чтобы разыскать украсть из рай горн гавриил но по путь встречаться с маленький мальчик по имя дэвид который сбежать из дом
1912,Илья Муромец и Соловей Разбойник,славиться земля русский богатырь богатырский да разбойник разбойничий а сверху весь князь княжеский сидеть за весь следить и порядок наводить если нужно да только не всегда выходить у князь так как нужно правильно вот и сейчас с богатырь поругаться да от соловей разбойник урон потерпеть немалый увести бандит окаянный казна государственный прямо изпод нос что делать князь а ничего особенный на то он и князь чтоб из любой ситуация выход найти вот и отправиться князь с илья на поиск похитить а за они вслед увязаться корреспондентка летопись новый берест а дорога непростой выдаться до сам царьград довести где встретить они император византийский да только незадача выйти повздорить наш герой с император это и заключить он против князь киевский и земля русский союз с соловей разбойник
1913,Вход в пустоту,20летний оскар и он 18летний сестра линда жить в токио пока оскар торговать наркотик линда танцевать стриптиз в ночной клуб однажды в время полицейский облава оскар получать пуля и пока он умирать он душа верный обещание никогда не оставлять сестра отказываться покидать этот мир беспокойный дух парень скитаться по город преследовать невыносимый кошмар и галлюцинация
1914,Игра на понижение,2005 год изучать дать ипотека по страна чудаковатый финансовый гений и управлять хеджфонд scion capital майкл бьюрри обращать внимание на один деталь и приходить к вывод что американский рынок ипотечный кредит мочь скоро лопнуть в связь с это он страховать около миллиард доллар свой клиент через кредитный дефолтный своп клиент фонд бьюрри волноваться изз возможный потеря ведь рынок ипотечный кредит представляться весьма стабильный но майкл твёрдо стоить на свой вскоре этот странный активность замечать несколько финансист на уоллстрит изучить дать они осознавать что опасение бьюрри иметь под себя веский основание более тот сыграть на понижение можно заработать миллион
1915,Детектор лжи,совершить ужасный преступление жестоко убитый молодой девушка основной подозревать капризный отпрыск богатый родитель джемс уолтер уэйланда но убийца ли он это показать напрячь допрос который превратиться в захватывать игра три профессионал выведывать друг у друг самый мрачный тайна удаться ли выяснить кто перед мы убийца алкоголик и психопат или невинный человек стать жертва обстоятельство и кто допрашивать он честной блюститель закон или хладнокровный мерзавец они разделять тонкий грань и между они лишь беспристрастный детектор ложь
1916,Ноттинг Хилл,история о скромный владелец книжный магазин в ноттинг хилла один из район лондон жизнь который резко меняться после тот как однажды кинозвезда заходить к он в маленький книжный магазинчик чтобы купить путеводитель
1917,Событие (сериал 2010 – 2011),загадочный и напрячь история с непредсказуемый поворот сюжет начинаться с пропажа невеста главное герой а точнее быть сказать исчезновение поскольку возникать впечатление что она и не существовать никто не мочь вспомнить что когдалибо она видеть или чтолибо слышать о она бросаться на поиск герой исполнить решимость разгадать загадка добираться до самый верхний эшелон власть и неожиданно понимать что стать пешка в таинственный игра вестись на уровень сильный мир сие известный и до пора нет и игра этот похоже мочь не только повлиять на жизнь каждый но и перевернуть наш представление о мир
1918,Молодость,фрэда прославить композитор и дирижёр вопреки просьба она величество отказываться выступить на день рождение принц филипп и на это у он есть веский причина мик оскароносный режиссёр вовсю работать над новый сценарий фильмаоткровение но дело не слишком спориться фрэда и мик уже полвека дружить смеяться над себя и дивиться красота и несправедливость это мир это лето они проводить на альпийский курорт где любовный переживание уже взрослый ребёнок случайно подсмотреть драма и откровение далёкий прошлое навсегда изменить судьба друг
1919,Страх,16летний красавица николь идти с подруга в ночной клуб и знакомиться там с обаятельный и сексуальный парень по имя дэвид вскоре невинный первый любовь превращаться в одержимость а николь становиться заложница агрессивный страсть дэвид склонный к вспышка беспричинный ревность
1920,Первый удар,агент цру джеки поручать следить за шпионка наташа который купить тур на украина джеки надеяться выследить с кто быть контактировать девушка но она скрываться джеки бросаться в погоня он гнаться за она по австралия и россия главный он задача остаться в живой и поймать тсуя сообщник наташа похитить ядерный боеголовка тсуя оказываться она любовник бывший сотрудник цру он завербовать сотрудник кгб егоров лидер русский мафия
1921,Карлик Нос,для тот чтобы осуществить свой коварный план злой колдунья нужный ребёнок с очень добрый сердце обман она заманивать к себя маленький якоб сын сапожник и зеленщица когда якоб отказываться участвовать в её сомнительный дело ведьма превращать он в уродливый карлик но вечный сила любовь и дружба помогать герой сказка рассеять злой чара
1922,Агентство НЛС (сериал 2001 – 2003),герой сериал молодой человек друг решить заняться собственный дело открыть частный агентство по решение нестандартный личный ситуация кто мочь стать они клиент кто угодный начинать от несчастный влюбить заканчивать пожилой дама который запутаться в свой племянник агентство нлс браться за любой дело от который с удовольствие отказаться бы любой нормальный следователь
1923,Ромео + Джульетта,верона стать огромный мегаполис монтекка и капулетти из дворянский клан превратиться в мафиозный битва на меч теперь заменить уличный перестрелка но ромео и джульетта так и остаться подросток а божественный строка шекспир теперь звучать из уста уличный боевик и наркоман время меняться человек меняться жизнь меняться а истинный любовь вечный
1924,"Младенец на прогулке, или Ползком от гангстеров",малыш бинк путешествовать по город весь день необычный место потрясать вид но он гулять совершенно один отчаянно разыскивать собственный родитель стать знаменитый благодаря пресса малыш противостоять группа гангстер охотиться за они ради деньга предложить он богатый родитель невозмутимый собранный и абсолютно не сознавать весь разрушение который он производить малыш создать столько неприятность бандит что никакой деньга они не захотеться
1925,Люди в черном 2,много год назад хороший агент организация человек в чёрный кей получить задание особый важность он поручить надёжно спрятать таинственный космический артефакт светоч проходить 25 год и на земля прилетать уничтожительница мир серлина принять образ сексапильный фотомодель она начало поиск светоч чтобы не дать ни единый шанс серлина артефакт нужно отыскать ранний она но есть один проблема после тот как агент кей и джей уничтожить четыре год назад хищный инопланетный таракан кея стереть память теперь он мирно трудиться в почтовый департамент у он нет даже малый воспоминание о свой прошлый и джа для спасение мир в чтобы то ни стать нужно найти способ восстановить он память
1926,Притворись моей женой,пластический хирург влюбить в молоденький учительница чтобы выпутаться из неловкий ситуация в который попасть по собственный глупость он просить свой предать ассистентка притвориться он жена с который он якобы собираться развестись один обман следовать за другой и вот в история втянутый уже и ребёнок он коллега и теперь всё они отправляться на уикенд на гавайи
1927,Жених напрокат,кэт стоить перед нелёгкий дилемма необходимость съездить на свадьба сестра в отчий дом омрачить тем что там она непременно встретить экс возлюбить расставание с который быть очень болезненный если уж ехать то надо предъявить родственник и бывший жених симпатичный умный и влюбить а он нет и кэт решать нанять парень из служба эскортуслуга для посещение свадебный вечеринка
1928,Домашний арест,брат с сестра узнать что они родитель задумать разойтись по совет одноклассник они заманить они в подвал и заколотить дверь объявить что не выпустить пока тот не решить всё свой проблема на следующий же день это стать известно весь школа и вскоре другой подросток у который в семья не быть полный счастие поместить свой предок в тот же подвал заменить дверь стальной решётка
1929,Скалолаз,в гора после снежный лавина теряться 5 человек на они поиск отправляться один из хороший альпинист и горный проводник гейба уокер неожиданно он понимать что он специально заманить в гора для совершенно другой дело также становиться ясно что гейба стать нежелательный свидетель от который без раздумье избавиться но свой жизнь он терять так просто не собираться и объявлять безжалостный война банда вооружённый до зуб боевик под предводительство международный террорист эрик куален
1930,Голодные игры,будущее деспотичный государство ежегодно устраивать показательный игра на выживание за который в прямой эфир следить весь мир в этот раз участвовать быть юный китнисса и тайно влюбить в она пит они знакомый с детство но теперь должный стать враг ведь по нерушимый закон голодный игра победить мочь только один из 24 участник судья не важно кто выиграть главное зрелище и на этот раз зрелище быть незабываемый
1931,"Хроники Нарнии: Лев, колдунья и волшебный шкаф",четверо ребёнок родитель отправлять из лондон в деревня к старый профессор друг семья в он дом ребёнок обнаруживать таинственный платяной шкаф посредством который они попадать в сказочный страна нарний где обитать фантастический человек животное и существо оказываться что этот мирный страна находиться под власть злой колдунья изз который там вечный зима ребёнок должный помочь царь аслан великий лев который много столетие назад основать нарний победить колдунья разрушить заклинание и освободить житель нарнии
1932,Прежде чем мы расстанемся,мужчина и женщина ранее не знать друг друг проводить ночь вместе противоречие испытывать герой в жизнь становиться основа для исследование друг друг и сам себя
1933,200 фунтов красоты,кан ханна барышня с огромный талант и вес она влюбить в продюсер санджуна и петь за кадр для красивый но безголосый певица однажды ханна подслушивать довольно циничный правда о себя и решать кардинально измениться активно худеть и делать себя пластический операция выйти из клиника через год красивый и стройный она пытаться стать звезда сам скрывать от весь правда
1934,Громобой,альфред танга знать о машина абсолютно всё он не только изумительно водить автомобиль но и способный по один звук мотор опознать марка машина безошибочно определить какой деталь в механический организм машина нуждаться в замена альфред некогда талантливый и бесстрашный гонщик теперь работать механикомэксперт в фирма свой уважаемый отец роковой случай сводить альфред с эксцентричный и безжалостный преступник по кличка кугар этот тип тоже крупный специалист по автомобиль соединять однако это пристрастие с ужасный тяга к красиво поставить убийство злодей сразу замечать в альфред сильный опытный и непредсказуемый соперник слово хороший партнёр в гонка на жуткий скорость чтобы заставить альфред играть по свой правило кугар похищать юный сестра герой предлагать танга сразиться с они на престижный чемпионат в япония отважный альфред принимать вызов и отправляться спасать сестра
1935,Наруто (сериал 2002 – 2007),однажды демон напасть на деревня в который родиться мальчик наруто чтобы остановить демон глава поселение запечатать он внутри наруто но сам при это погибнуть пройти год наруто вырасти стать гиперактивный и очень тупой ниндзя он всё ещё жить в родный деревня где он не особо любить и стараться избегать
1936,Балто 2: В поисках волка (видео),продолжение приключение легендарный пёс балтый случиться так что балтый стать отец он сделать всё возможный чтобы пристроить весь свой отпрыск в хороший семья но один девочка по имя алу вдруг почувствовать что никогда не смочь быть похожий на свой брат и сестра после тот как она встретить в лес охотник алу ощутить пробуждение загадочный природа волк внутри себя кто же она волк или собака чтобы найти ответ на этот вопрос алу отправляться в путешествие по бескрайний простор аляска в который она быть сопровождать любящий отец балтый
1937,Экс-ударник,в дверь бывший ударник дриза постучать трое музыкант акцентировать внимание на тот что они калека почти глухой вокалист гитарист лысый громила с сексуальный комплекс насиловать и убивать женщина жить на потолок собственный квартира басист гомосексуалист чей невменяемый отец находиться дом на привязь этот человек начинать играть в рокгруппа который благодаря ударник добиваться успех однако дриза счастливый не поэтому он радовать перспектива до конец уничтожить и без тот полумёртвый мечта и амбиция это сборище неудачник
1938,Свадьба лучшего друга,9 год назад джулианный поттер и майкл онил заключить соглашение если до 28 год они не влюбиться в другой то пожениться хороший друг ещё с студенческий время который однажды поддаться вспышка страсть почти позабыть о свой юношеский договор и теперь в 28 год майкл поднять вопрос о свадьба но с другой у джулианный который внезапно осознавать что мочь потерять сам главное человек в свой жизнь есть только четыре день чтобы вернуть майкл
1939,Заряженное оружие 1,два детектив джек кольт и уэс люгер искать убийца бывший напарница и бороться с торговец наркотик некий генерал мортарс
1940,Говори (ТВ),мелинда сордино изгой в свой новый класс её за чтоть ненавидеть бывший друг и подруга а мелинда даже не пытаться защититься она молча без слеза выносить всё унижение и пытаться найти утешение в рисование в прошлый девочка быть довольно популярный но некий обстоятельство настроить весь против она она скрывать правда о который не хотеть говорить тот правда который мочь изменить всё который полностью оправдывать она всё без конец просить мелинда говорить но никто не желать слушать
1941,Повелитель бури,багдад 2004 год после гибель лидер сапёрный группа армия сша мэтт томпсон новый командир назначать штабсержант уильям джеймс матёрый и отчаянный профи на счёт который несколько сотня разминирование однако рискованный метод работа джеймс и он принципиальность приводить к напряжение и разлад в отношение с другой член отряд
1942,Макбет,холодное поле шотландия военный лагерь всегда готовый переместиться в другой место макбет всегда на война он жена недавно потерять ребёнок бояться потерять ещё и муж чтобы удержать он рядом она начинать свой проект по устранение конкурент в борьба за королевский корона
1943,Мы – Миллеры,дэвид кларк мелкий торговец наркотик среди он клиент повар и скучать домохозяйка ребёнок он наркотик не продавать и поэтому считать себя принципиальный человек дэвид действительно хорошо относиться к ребёнок но это не оставаться безнаказанный он пытаться помочь подросток попасть в беда и на он нападать хулиган они отбирать у он наркотик и деньга и дэвид оказываться в отчаянный положение ведь он нечего расплатиться с поставщик единственный выход подрядиться на доставка крупный партия наркотик через граница
1944,Теория заговора,джерри флетчер кругом подозревать заговор он владеть смертельно опасный информация враг предпочесть бы видеть джерри мёртвый в этот ситуация она единственный кто он мочь доверять он таксист и параноик она прокурор который отказываться он верить теперь они вместе вынудить выживать один из он сумасшедший предположение уже подтвердиться
1945,Адреналин,наёмный убийца чев узнать что недоброжелатель отравить он редкий китайский яд и отрава начать действовать немедленно как только пульс перестать биться ниже определённый отметка и теперь чева нужно успеть сделать всё свой дело попробовать раздобыть противоядие и отомстить свой отравитель в прямой смысл слово впопыхах стараться создавать вокруг себя как можно более напрячь обстановка и не расслабляться ни на секунда
1946,Бетховен,герой фильм не великий композитор а случайно назвать он имя симпатягасенбернар попасть в семья ещё щенок пёс быстро подружиться с ребёнок и мать лишь отец косо поглядывать на беспокойный домочадец
1947,Слушатель,жизнь 32летний президент преуспевать фирма сергей петров рушиться в одночасье он терять всё деньга социальный положение дом семья работа и оказываться на улица однажды скитаться по город герой встречать свой бывший однокурсник а ныне мелкий жулик кулем вместе с они петров приходить в бюро по трудоустройство где он предлагать работа слушатель так он попадать в семья федулов где и начинать работать выслушивать брань и оскорбление весь обитатель дом не рисковать открыто высказываться друг перед друг вскоре в дом появляться старший дочь федулов марина сбежать от подлецамуж стычка петров с марина незаметно перерастать в нечто иной и когда беда и неприятность герой доходить до предел когда всё буквально подходить к грань отчаяние как это всегда и бывать в новогодний ночь свершаться чудо открываться неожиданный факт который круто менять ход событие и дарить герой долгожданный счастие
1948,Дорогой Джон,юный саванна и солдат американский армия джон нежно любить друг друг выражать свой чувство в письмо который для джон единственный источник радость и надежда на непрекращающийся война для джон существовать понятие долг который вынуждать он остаться в армия после событие 11 сентябрь мешать он исполнить обещание вернуться и жениться на девушка это решение отдалять они друг от друг и письмо от саванна приходить всё редкий и редкий
1949,Костолом,у дэнни михэн есть всё деньга слава дорогой машина он капитан английский национальный команда по футбол но однажды идиллия нарушаться дэнни получать трёхлетний тюремный срок за нападение на офицер полиция в состояние алкогольный опьянение начальник тюрьма в который оказаться дэнни вложить немало собственный деньга в создание футбольный команда и решить заполучить маститый футболист в качество тренер для свой команда он мечта выиграть тюремный лига но дэнни создавать команда из заключить который должный сыграть первый матч с свой тюремщик начальник тюрьма не возражать он не верить что заключить мочь выиграть
1950,Звонок,телефонный звонок раздаваться после просмотр некий загадочный видеокассета жертва даваться ровно семь день а после следовать неминуемый смерть журналистка рэйчел расследовать загадочный смерть молодой человек и случайно кассетаубийца попадать в рука к её маленький сын над который теперь нависать смертельный угроза у женщина есть только семь день чтобы разобраться в происходить и спасти свой мальчик
1951,Ослепленный желаниями,в этот раз дьявол принимать обличие распутный красотка неудачникпрограммист хороший объект для вербовка объект продажа бессмертный душа цена 7 желание но выполнять любой желание продажный душа дьявол не давать насладиться результат в один мгновение жизнь программист превращаться в настоящий ад
1952,Ночь в Роксбери,они носить неотразимый костюм и золотой цепь у они модный причёска и стильный бакенбарда они среда обитание ночной клуб стимул они жизнь красивый женщина они самый заветный мечта попасть в престижный и недоступный клуб роксбрать
1953,Его игра,у осудить за убийство джейк шатлсуорт появляться призрачный шанс выйти на свобода ранний чем через положить он 15 год он просто должный убедить свой сын талантливый баскетболист поступить в определённый университет с этот цель два сопровождать агент привозить джейк в ньюйорк и селить в гадюшникнуть именовать гостиница с радиомаяк на нога и проститутка по соседство джейк получать несколько день свобода чтобы вновь обрести сын мать который он убить шесть год назад
1954,Лемони Сникет: 33 несчастья,в один скверный пасмурный день на юный бодлер вайогод клаус и они маленький сестричка солнышко обрушиться несчастие страшный пожар лишить они дом и любящий родитель в жизнь сирота появиться опекун граф олафа который как оказаться совсем не граф а злой гений актёр и мастер переодевание стремиться завладеть наследство несчастный детишки
1955,Святой Винсент,фильм рассказать о 12летний мальчик который переживать развод свой родитель заводить дружба с пожилой сосед пьющий ветеран война любящий азартный игра и проститутка и вот этот нелюдимый и далеко не положительный с вид человек становиться наставник парнишка
1956,Ямакаси: Свобода в движении,ямакаси великолепный семёрка молодой человек который продолжать традиция таинственный ниндзя создать свой собственный искусство искусство перемещение они не бояться никакой опасность и сохранять невозмутимость в любой ситуация они взбираться на небоскрёб совершать головокружительный прыжок с высота полёт в воздух у каждый свой особенность свой конёк молодёжь восхищаться они и пытаться они подражать но однажды происходить несчастный случай ямакаси должный действовать быстро решительно и воспользоваться свой умение чтобы спасти жизнь человек
1957,Звездные войны: Войны клонов (сериал 2008 – 2014),великий армия республика ведомый йода мейсом винд обиван кенобь и другой рыцарямиджедай сражаться против новый армия дроид сепаратист
1958,Время,добро пожаловать в мир где время стать единственный и сам твёрдый валюта где человек генетически запрограммировать так что в 25 год переставать стареть правда последующий год стоять деньга и вот богатый становиться практически бессмертный а бедный обречь сражаться за жизнь уилла бунтарь из гетто несправедливый обвинить в убийство с цель грабёж время и теперь вынудить захватить заложница пуститься в бег
1959,Астерикс и Обеликс: Миссия Клеопатра,царица египет клеопатра заключать пари с римский император юлий цезарь о тот что её поддать смочь весь за три месяц построить для он грандиозный дворец великий честь руководить строительство удостоить архитектор нумеробис который в случай неудача бросить на растерзание крокодил понимать что в такой краткий срок он не уложиться нумеробис вызывать на помощь свой старое друг друид панорамикс с зелье даровать сверхъестественный сила а весёлый и находчивый друг астерикс и обеликс сопровождать старец в египет чтобы помешать происки цезарь не желать проигрывать клеопатра
1960,Маленький Будда,после смерть лама доржа из тибет буддийский монах начинать искать по весь мир тот в кто воплотиться душа умерший они находить мальчик джессать конрад из сиэтл беспризорник из катманду и девочка из знатный индийский семья вместе они отправляться в бутан где ребёнок подвергнуться испытание чтобы выяснить кто из они являться истинный реинкарнация
1961,Жанна Д'Арк,xv век жанна дарк заставать родный деревня в огонь захватчик насиловать и убивать её старший сестра жанна ехать в шинона к дофин карл проситься в армия набожный юный дева получать отряд воин и наносить несколько поражение англичанин и снимать осада орлеан имя жанна дарк у весь на уста солдат верить в она и готовый на новый подвиг
